company_name,qualification,skills_required,state,district,intern_title
IBM India,BCA,"MS Excel, Communication, Business Writing",Uttar Pradesh,Lucknow,Embedded Systems Intern
Capgemini,B.Tech Computer Science,"Java, Spring Boot, MySQL",Telangana,Hyderabad,Full Stack Intern
Persistent Systems,M.Tech Computer Science,"AI, Machine Learning, Python",Tamil Nadu,Kanchipuram,Cloud Engineering Intern
Zoho,B.Sc IT,"JavaScript, React, Node.js",Tamil Nadu,Chennai,Frontend Intern
Oracle India,B.Sc IT,"Business Analysis, Excel, Power BI",Maharashtra,Mumbai Suburban,AI Intern
Capgemini,B.Sc IT,"Java, Spring Boot, MySQL",Delhi,New Delhi,Frontend Intern
HCL Technologies,B.Tech ECE,"Embedded Systems, IoT, C",Punjab,Amritsar,IoT Intern
Mindtree,M.Tech Computer Science,"Python, Django, REST APIs",Delhi,New Delhi,Database Intern
TCS,B.Tech ECE,"Python, Django, REST APIs",Delhi,New Delhi,AI Intern
Mphasis,B.Com,"Python, SQL, Data Analysis",Maharashtra,Mumbai Suburban,Software Development Intern
L&T Infotech,B.Com,"C++, Cloud Computing, Linux",Punjab,Amritsar,Network Security Intern
HCL Technologies,M.Tech Computer Science,"AI, Machine Learning, Python",Uttar Pradesh,Lucknow,Machine Learning Intern
TCS,B.Tech Computer Science,"Cloud, Kubernetes, Docker",Gujarat,Ahmedabad,Web Development Intern
Infosys,B.Com,"C++, Cloud Computing, Linux",Uttar Pradesh,Lucknow,Software Development Intern
Persistent Systems,BBA,"Cloud, Kubernetes, Docker",Tamil Nadu,Chennai,Network Security Intern
TCS,B.Sc IT,"MS Excel, Communication, Business Writing",Haryana,Gurgaon,Software Development Intern
Persistent Systems,BBA,"Python, SQL, Data Analysis",Delhi,New Delhi,UI/UX Design Intern
L&T Infotech,B.Sc IT,"Embedded Systems, IoT, C",Gujarat,Ahmedabad,Software Development Intern
HCL Technologies,M.Tech Computer Science,"Python, SQL, Data Analysis",Punjab,Amritsar,Backend Intern
Cognizant,BBA,"MS Excel, Communication, Business Writing",Madhya Pradesh,Indore,UI/UX Design Intern
Zoho,B.Com,"MS Excel, Communication, Business Writing",Punjab,Amritsar,Business Analyst Intern
Capgemini,BBA,"Java, Spring Boot, MySQL",Maharashtra,Pune,Embedded Systems Intern
Infosys,M.Tech Computer Science,"Python, Django, REST APIs",Kerala,Ernakulam,Full Stack Intern
Cognizant,B.Sc IT,"Embedded Systems, IoT, C",Madhya Pradesh,Indore,AI Intern
L&T Infotech,M.Tech Computer Science,"C++, Cloud Computing, Linux",Maharashtra,Mumbai Suburban,Data Analyst Intern
