company_name,qualification,skills_required,state,district,intern_title
IBM India,BCA,"C, IoT, Microcontrollers, PCB Design",Uttar Pradesh,Lucknow,Embedded Systems Intern
Capgemini,B.Tech Computer Science,"JavaScript, MongoDB, MySQL, Spring Boot",Telangana,Hyderabad,Full Stack Intern
Persistent Systems,M.Tech Computer Science,"Azure, CI/CD, Docker, Kubernetes, Linux",Tamil Nadu,Kanchipuram,Cloud Engineering Intern
Zoho,B.Sc IT,"Angular, Bootstrap, CSS, HTML",Tamil Nadu,Chennai,Frontend Intern
Oracle India,B.Sc IT,"Data Analysis, Machine Learning, PyTorch, Python",Maharashtra,Mumbai Suburban,AI Intern
Capgemini,B.Sc IT,"Angular, Bootstrap, HTML, UI/UX",Delhi,New Delhi,Frontend Intern
HCL Technologies,B.Tech ECE,"Communication, MS Excel, Problem Solving, Teamwork",Punjab,Amritsar,IoT Intern
Mindtree,M.Tech Computer Science,"Python, Statistics, Tableau",Delhi,New Delhi,Database Intern
TCS,B.Tech ECE,"Data Analysis, Deep Learning, Machine Learning, Python",Delhi,New Delhi,AI Intern
Mphasis,B.Com,"Agile, Git, OOP",Maharashtra,Mumbai Suburban,Software Development Intern
L&T Infotech,B.Com,"Cisco, Firewalls, Networking, Routing, Switching",Punjab,Amritsar,Network Security Intern
HCL Technologies,M.Tech Computer Science,"Communication, MS Excel, Problem Solving, Teamwork",Uttar Pradesh,Lucknow,Machine Learning Intern
TCS,B.Tech Computer Science,"Communication, MS Excel, Problem Solving",Gujarat,Ahmedabad,Web Development Intern
Infosys,B.Com,"Agile, C++, Git, Java, Python",Uttar Pradesh,Lucknow,Software Development Intern
Persistent Systems,BBA,"Cisco, Networking, Routing, Switching",Tamil Nadu,Chennai,Network Security Intern
TCS,B.Sc IT,"Agile, Git, Java, OOP",Haryana,Gurgaon,Software Development Intern
Persistent Systems,BBA,"Communication, Problem Solving, Figma",Delhi,New Delhi,UI/UX Design Intern
L&T Infotech,B.Sc IT,"Java, OOP, Python",Gujarat,Ahmedabad,Software Development Intern
HCL Technologies,M.Tech Computer Science,"API Development, MySQL, Node.js",Punjab,Amritsar,Backend Intern
Cognizant,BBA,"Communication, Problem Solving, Teamwork",Madhya Pradesh,Indore,UI/UX Design Intern
Zoho,B.Com,"Business Writing, Data Visualization, Power BI",Punjab,Amritsar,Business Analyst Intern
Capgemini,BBA,"C, MATLAB, Microcontrollers",Maharashtra,Pune,Embedded Systems Intern
Infosys,M.Tech Computer Science,"JavaScript, MongoDB, Spring Boot,  Node",Kerala,Ernakulam,Full Stack Intern
Cognizant,B.Sc IT,"Deep Learning, PyTorch, TensorFlow",Madhya Pradesh,Indore,AI Intern
L&T Infotech,M.Tech Computer Science,"Excel, Power BI, Python, Tableau",Maharashtra,Mumbai Suburban,Data Analyst Intern
Persistent Systems,B.Tech Mechanical,"MS Excel, Problem Solving, Teamwork",Punjab,Amritsar,Machine Learning Intern
Tech Mahindra,B.Tech Mechanical,"Communication, MS Excel, Problem Solving",Telangana,Hyderabad,Web Development Intern
Oracle India,MBA,"Azure, CI/CD, Docker",West Bengal,Kolkata,Cloud Engineering Intern
Mindtree,B.Tech ECE,"Communication, MS Excel, Teamwork",Telangana,Hyderabad,UI/UX Design Intern
Tech Mahindra,B.Sc IT,"Communication, Figma, Problem Solving, Teamwork",Karnataka,Bengaluru Urban,Web Development Intern
Capgemini,MBA,"Cisco, Firewalls, Linux, Networking, Switching",Kerala,Ernakulam,Network Security Intern
Capgemini,B.Tech Computer Science,"Excel, Python, SQL, Tableau",Uttar Pradesh,Lucknow,Data Analyst Intern
Mphasis,B.Com,"Cisco, Firewalls, Linux, Networking, Switching",Delhi,New Delhi,Network Security Intern
Capgemini,M.Tech Computer Science,"Docker, Google Cloud, Kubernetes",Maharashtra,Pune,Cloud Engineering Intern
Oracle India,MBA,"C++, Git, OOP",Gujarat,Ahmedabad,Software Development Intern
Capgemini,MCA,"Excel, Power BI, Python, Statistics, Tableau",Maharashtra,Mumbai Suburban,Database Intern
Oracle India,BCA,"C++, Embedded C, IoT, Microcontrollers, PCB Design",Haryana,Gurgaon,Embedded Systems Intern
HCL Technologies,B.Tech Mechanical,"Communication, MS Excel, Problem Solving, Teamwork",Tamil Nadu,Chennai,IoT Intern
Infosys,B.Tech ECE,"C++, MATLAB, Microcontrollers, PCB Design",West Bengal,Kolkata,Embedded Systems Intern
L&T Infotech,BCA,"Business Writing, Data Visualization, Excel, SQL",Maharashtra,Mumbai Suburban,Business Analyst Intern
IBM India,MBA,"Communication, MS Excel, Problem Solving, Teamwork",Gujarat,Ahmedabad,Web Development Intern
TCS,BBA,"Communication, MS Excel, Problem Solving",Haryana,Gurgaon,Web Development Intern
Wipro,B.Tech Mechanical,"Java, PostgreSQL, Python, Spring Boot",Maharashtra,Mumbai Suburban,Backend Intern
Infosys,B.Tech Computer Science,"Communication, MS Excel, Teamwork",West Bengal,Kolkata,Web Development Intern
L&T Infotech,B.Sc IT,"Excel, Python, SQL, Tableau",West Bengal,Kolkata,Database Intern
L&T Infotech,B.Sc IT,"Bootstrap, CSS, JavaScript, UI/UX",Punjab,Amritsar,Frontend Intern
Tech Mahindra,B.Tech Computer Science,"Business Writing, Excel, Power BI, SQL",Gujarat,Ahmedabad,Business Analyst Intern
HCL Technologies,B.Com,"Angular, CSS, HTML, React.js",Gujarat,Ahmedabad,Frontend Intern
Mphasis,B.Sc IT,"Power BI, Python, Statistics, Tableau",Madhya Pradesh,Indore,Database Intern
Accenture,M.Tech Computer Science,"Power BI, Python, SQL, Tableau",Rajasthan,Jaipur,Database Intern
HCL Technologies,M.Tech Computer Science,"Data Visualization, Excel, Power BI, SQL",Gujarat,Ahmedabad,Business Analyst Intern
L&T Infotech,M.Tech Computer Science,"AWS, Azure, Linux",Gujarat,Ahmedabad,Cloud Engineering Intern
Oracle India,BCA,"AWS, Azure, CI/CD, Google Cloud, Kubernetes",Uttar Pradesh,Lucknow,Cloud Engineering Intern
HCL Technologies,B.Com,"Communication, Problem Solving, Teamwork",Haryana,Gurgaon,Web Development Intern
HCL Technologies,MBA,"Cisco, Firewalls, Linux",Madhya Pradesh,Indore,Network Security Intern
Tech Mahindra,BBA,"Angular, Bootstrap, UI/UX",Rajasthan,Jaipur,Frontend Intern
IBM India,B.Com,"Java, JavaScript, MySQL",Rajasthan,Jaipur,Full Stack Intern
L&T Infotech,B.Tech Mechanical,"Java, JavaScript, MongoDB, React.js",Maharashtra,Pune,Full Stack Intern
Zoho,B.Com,"Business Writing, Data Visualization, Excel, Power BI, SQL",Punjab,Amritsar,Business Analyst Intern
Zoho,MCA,"C, C++, IoT, MATLAB",Madhya Pradesh,Indore,Embedded Systems Intern
Capgemini,MBA,"API Development, MySQL, Node.js, Python, Spring Boot",Haryana,Gurgaon,Backend Intern
IBM India,B.Sc IT,"Excel, Python, SQL, Tableau",Rajasthan,Jaipur,Database Intern
Zoho,B.Com,"Excel, Power BI, Python, SQL, Statistics",Tamil Nadu,Chennai,Data Analyst Intern
L&T Infotech,B.Tech Computer Science,"Communication, Problem Solving, Teamwork",Maharashtra,Pune,Machine Learning Intern
HCL Technologies,B.Tech Computer Science,"Agile, C++, Java, Python",Haryana,Gurgaon,Software Development Intern
Tech Mahindra,B.Tech Mechanical,"Communication, MS Excel, Teamwork",Karnataka,Bengaluru Urban,Machine Learning Intern
Accenture,MCA,"Cisco, Linux, Networking, Switching",Haryana,Gurgaon,Network Security Intern
Tech Mahindra,BCA,"Business Writing, Data Visualization, Excel, SQL",Telangana,Hyderabad,Business Analyst Intern
Persistent Systems,M.Tech Computer Science,"Excel, SQL, Tableau",Madhya Pradesh,Indore,Data Analyst Intern
Mphasis,B.Sc IT,"Power BI, SQL, Tableau",Karnataka,Bengaluru Urban,Database Intern
Zoho,MCA,"Docker, Google Cloud, Kubernetes, Linux",Rajasthan,Jaipur,Cloud Engineering Intern
Wipro,MBA,"C, IoT, MATLAB, Microcontrollers",West Bengal,Kolkata,Embedded Systems Intern
